season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2021_P010391_MUN,E2021,P010391,"WEILER-BABB, NICK",MUN,29.0,16.0,760.8,181,48,92,19,65,28,32,37,84,121,83,32,37,6,3,69,48,268,86,26.23,6.24,1.66,3.17,0.522,0.66,2.24,0.292,0.97,1.1,0.875,1.28,2.9,4.17,2.86,1.1,1.28,0.21,0.1,2.38,1.66,9.24,2.97
E2022_P010391_MUN,E2022,P010391,"WEILER-BABB, NICK",MUN,31.0,25.0,789.3,238,42,101,43,130,25,32,29,78,107,61,20,22,8,6,69,47,231,-22,25.46,7.68,1.35,3.26,0.416,1.39,4.19,0.331,0.81,1.03,0.781,0.94,2.52,3.45,1.97,0.65,0.71,0.26,0.19,2.23,1.52,7.45,-0.71
E2023_P010391_MUN,E2023,P010391,"WEILER-BABB, NICK",MUN,34.0,4.0,739.5,211,28,50,46,119,17,20,31,78,109,73,25,30,4,5,76,40,253,-75,21.75,6.21,0.82,1.47,0.56,1.35,3.5,0.387,0.5,0.59,0.85,0.91,2.29,3.21,2.15,0.74,0.88,0.12,0.15,2.24,1.18,7.44,-2.21
E2024_P010391_MUN,E2024,P010391,"WEILER-BABB, NICK",MUN,8.0,8.0,206.1,55,6,14,11,32,10,14,8,32,40,32,13,11,0,1,22,12,85,12,25.76,6.88,0.75,1.75,0.429,1.38,4.0,0.344,1.25,1.75,0.714,1.0,4.0,5.0,4.0,1.62,1.38,0.0,0.12,2.75,1.5,10.62,1.5
E2007_PAGQ_MAL,E2007,PAGQ,"WELSCH, JIRI",MAL,20.0,16.0,531.8,173,36,73,17,54,50,71,15,69,84,55,31,39,4,7,38,68,236,106,26.59,8.65,1.8,3.65,0.493,0.85,2.7,0.315,2.5,3.55,0.704,0.75,3.45,4.2,2.75,1.55,1.95,0.2,0.35,1.9,3.4,11.8,5.3
E2008_PAGQ_MAL,E2008,PAGQ,"WELSCH, JIRI",MAL,15.0,8.0,326.6,128,30,57,13,28,29,43,13,26,39,21,9,12,1,1,30,50,149,64,21.77,8.53,2.0,3.8,0.526,0.87,1.87,0.464,1.93,2.87,0.674,0.87,1.73,2.6,1.4,0.6,0.8,0.07,0.07,2.0,3.33,9.93,4.27
E2009_PAGQ_MAL,E2009,PAGQ,"WELSCH, JIRI",MAL,16.0,10.0,377.6,110,22,63,12,28,30,48,14,39,53,31,16,22,2,6,34,57,132,12,23.6,6.88,1.38,3.94,0.349,0.75,1.75,0.429,1.88,3.0,0.625,0.88,2.44,3.31,1.94,1.0,1.38,0.12,0.38,2.12,3.56,8.25,0.75
E2011_PAGQ_CHA,E2011,PAGQ,"WELSCH, JIRI",CHA,10.0,10.0,258.0,68,25,51,2,10,12,23,3,26,29,15,13,22,0,3,21,28,62,-54,25.8,6.8,2.5,5.1,0.49,0.2,1.0,0.2,1.2,2.3,0.522,0.3,2.6,2.9,1.5,1.3,2.2,0.0,0.3,2.1,2.8,6.2,-5.4
E2021_P009553_ASV,E2021,P009553,"WEMBANYAMA, VICTOR",ASV,13.0,10.0,227.4,84,22,59,10,33,10,15,20,30,50,6,5,17,25,3,29,15,71,-52,17.49,6.46,1.69,4.54,0.373,0.77,2.54,0.303,0.77,1.15,0.667,1.54,2.31,3.85,0.46,0.38,1.31,1.92,0.23,2.23,1.15,5.46,-4.0
E2012_P002543_PAR,E2012,P002543,"WESTERMANN, LEO",PAR,9.0,7.0,261.5,86,18,49,13,30,11,13,4,19,23,37,3,24,0,7,33,24,59,-8,29.06,9.56,2.0,5.44,0.367,1.44,3.33,0.433,1.22,1.44,0.846,0.44,2.11,2.56,4.11,0.33,2.67,0.0,0.78,3.67,2.67,6.56,-0.89
